City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,tynda,55.1667,124.7167,-14.77,69,4,0.18,RU,1699234444
215,sanctuary point,-35.1114,150.629,19.55,60,77,5.17,AU,1699234444
216,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,88,75,4.92,RU,1699234059
217,raiganj,25.6167,88.1167,22.28,71,0,1.47,IN,1699234445
218,murun-kuren,49.6342,100.1625,-4.43,56,58,5.87,MN,1699234445
219,alesund,62.4723,6.1549,7.08,68,100,4.63,NO,1699234445
220,palmer,42.1584,-72.3287,8.99,60,20,2.06,US,1699234365
221,kuantan,3.8077,103.326,28.06,83,20,1.54,MY,1699234382
222,praia da vitoria,38.7333,-27.0667,13.2,100,20,4.04,PT,1699234446
223,constitucion,-35.3333,-72.4167,10.65,86,90,1.95,CL,1699234446
224,plettenberg bay,-34.0527,23.3716,14.55,81,86,1.34,ZA,1699234446
225,kidal,18.4411,1.4078,25.27,9,0,3.06,ML,1699234315
226,bulolo,-7.2,146.65,24.6,89,100,0.44,PG,1699234447
227,tofol,5.3248,163.0078,29.88,74,100,7.72,FM,1699234447
228,nemuro,43.3236,145.575,12.2,89,100,4.58,JP,1699234448
229,peniche,39.3558,-9.3811,14.4,55,7,8.3,PT,1699234381
230,ndende,-2.4008,11.3581,22.89,99,100,0.42,GA,1699234448
231,launceston,-41.45,147.1667,19.8,52,40,2.57,AU,1699234242
232,ihosy,-22.4,46.1167,17.83,91,97,2.89,MG,1699234449
233,saldanha,-33.0117,17.9442,16.03,93,100,3.91,ZA,1699234177
234,tovarkovskiy,53.6822,38.2092,9.3,91,88,5.24,RU,1699234449
235,fortuna,40.5982,-124.1573,17.18,89,75,3.6,US,1699234449
236,new norfolk,-42.7826,147.0587,20.4,38,15,1.49,AU,1699234450
237,marsh harbour,26.5412,-77.0636,25.22,64,21,7.89,BS,1699234225
238,preobrazheniye,42.9019,133.9064,10.29,96,100,7.06,RU,1699234349
239,volchikha,52.0333,80.3833,-5.57,94,65,1.79,RU,1699234451
240,lorengau,-2.0226,147.2712,28.97,76,98,2.14,PG,1699234451
241,haiku-pauwela,20.9219,-156.3051,29.01,48,20,10.29,US,1699234451
242,darhan,49.4867,105.9228,-6.26,54,100,0.68,MN,1699234451
243,dunedin,-45.8742,170.5036,11.8,63,76,3.55,NZ,1699234042
244,badger,64.8,-147.5333,-7.02,84,100,2.06,US,1699234452
245,muroto-misakicho,33.2833,134.15,23.65,86,100,10.04,JP,1699234452
246,princeville,45.7668,-61.2985,6.62,76,75,5.66,CA,1699234452
247,touros,-5.1989,-35.4608,26.38,72,35,5.52,BR,1699234324
248,nev'yansk,57.4953,60.2112,-4.26,93,99,1.79,RU,1699234453
249,wailua homesteads,22.0669,-159.378,30.24,77,100,7.2,US,1699234453
250,yazoo city,32.8551,-90.4056,17.34,51,1,1.43,US,1699234453
